timestamp,temperature_c,precipitation_mm,wind_speed_kmh,weather_condition
2025-08-20 23:14:48,-10.3,0.0,7.4,Clear
2025-08-21 00:14:48,23.9,0.0,11.3,Clear
2025-08-21 01:14:48,12.9,0.35,6.3,Clear
2025-08-21 02:14:48,19.9,1.22,6.5,Clear
2025-08-21 03:14:48,19.3,0.0,9.8,Clear
2025-08-21 04:14:48,10.0,0.0,6.7,Rain
2025-08-21 05:14:48,23.0,0.22,5.5,Clear
2025-08-21 06:14:48,15.6,0.19,14.3,Clear
2025-08-21 07:14:48,9.0,0.41,5.8,Cloudy
2025-08-21 08:14:48,-2.2,0.0,10.7,Rain
2025-08-21 09:14:48,13.0,0.02,11.0,Clear
2025-08-21 10:14:48,2.7,0.0,9.2,Clear
2025-08-21 11:14:48,12.0,0.0,8.3,Clear
2025-08-21 12:14:48,23.5,2.46,14.8,Clear
2025-08-21 13:14:48,13.7,3.55,6.3,Rain
2025-08-21 14:14:48,11.2,1.9,9.4,Rain
2025-08-21 15:14:48,20.8,0.0,7.4,Cloudy
2025-08-21 16:14:48,29.3,0.33,3.4,Rain
2025-08-21 17:14:48,6.0,0.0,12.1,Clear
2025-08-21 18:14:48,16.2,0.0,10.0,Rain
2025-08-21 19:14:48,25.2,0.0,6.8,Rain
2025-08-21 20:14:48,-3.7,0.14,8.5,Clear
2025-08-21 21:14:48,13.1,0.0,11.5,Cloudy
2025-08-21 22:14:48,0.7,0.0,7.7,Cloudy
2025-08-21 23:14:48,19.4,0.0,16.8,Rain
2025-08-22 00:14:48,25.0,0.6,12.1,Rain
2025-08-22 01:14:48,12.1,0.05,6.3,Clear
2025-08-22 02:14:48,14.6,0.0,7.4,Clear
2025-08-22 03:14:48,33.5,0.0,9.2,Clear
2025-08-22 04:14:48,21.4,0.0,15.5,Clear
2025-08-22 05:14:48,0.8,1.81,14.4,Cloudy
2025-08-22 06:14:48,9.8,0.0,11.6,Cloudy
2025-08-22 07:14:48,11.3,0.0,10.4,Clear
2025-08-22 08:14:48,30.2,0.0,8.6,Clear
2025-08-22 09:14:48,20.2,0.0,8.5,Clear
2025-08-22 10:14:48,18.1,0.44,16.7,Rain
2025-08-22 11:14:48,12.9,1.5,11.2,Cloudy
2025-08-22 12:14:48,21.6,2.43,10.5,Rain
2025-08-22 13:14:48,16.6,0.91,8.5,Rain
2025-08-22 14:14:48,6.0,0.0,11.3,Clear
2025-08-22 15:14:48,1.3,0.0,11.3,Rain
2025-08-22 16:14:48,25.2,0.0,9.6,Rain
2025-08-22 17:14:48,10.5,0.0,9.2,Snow
2025-08-22 18:14:48,-6.9,0.0,13.3,Rain
2025-08-22 19:14:48,23.4,0.0,4.4,Rain
2025-08-22 20:14:48,20.2,0.0,5.1,Clear
2025-08-22 21:14:48,-6.0,0.0,9.6,Clear
2025-08-22 22:14:48,29.4,0.0,9.2,Clear
2025-08-22 23:14:48,29.3,0.0,10.6,Rain
2025-08-23 00:14:48,-1.6,3.98,6.6,Clear
2025-08-23 01:14:48,11.0,0.0,5.9,Clear
2025-08-23 02:14:48,4.0,0.0,9.4,Clear
2025-08-23 03:14:48,34.9,0.0,12.0,Clear
2025-08-23 04:14:48,6.6,1.19,11.1,Clear
2025-08-23 05:14:48,10.2,0.0,16.1,Cloudy
2025-08-23 06:14:48,16.2,2.38,3.0,Rain
2025-08-23 07:14:48,21.7,0.0,11.5,Clear
2025-08-23 08:14:48,19.9,0.5,8.4,Clear
2025-08-23 09:14:48,20.4,0.0,9.2,Cloudy
2025-08-23 10:14:48,23.3,0.66,5.4,Fog
2025-08-23 11:14:48,35.6,0.0,10.6,Clear
2025-08-23 12:14:48,7.0,0.0,9.3,Rain
2025-08-23 13:14:48,8.7,0.0,15.2,Clear
2025-08-23 14:14:48,15.0,0.0,11.8,Clear
2025-08-23 15:14:48,26.0,0.0,11.4,Snow
2025-08-23 16:14:48,5.9,0.0,8.1,Clear
2025-08-23 17:14:48,17.9,0.0,7.8,Rain
2025-08-23 18:14:48,3.2,0.0,12.8,Clear
2025-08-23 19:14:48,18.5,0.0,5.2,Fog
2025-08-23 20:14:48,25.4,0.83,9.5,Clear
2025-08-23 21:14:48,13.6,0.0,6.4,Snow
2025-08-23 22:14:48,21.7,0.0,9.8,Rain
2025-08-23 23:14:48,10.1,0.43,11.0,Cloudy
2025-08-24 00:14:48,14.7,0.0,14.7,Clear
2025-08-24 01:14:48,8.8,0.0,9.9,Clear
2025-08-24 02:14:48,20.9,0.85,10.9,Cloudy
2025-08-24 03:14:48,20.6,0.0,7.8,Clear
2025-08-24 04:14:48,16.4,0.0,9.2,Cloudy
2025-08-24 05:14:48,8.2,2.4,10.0,Clear
2025-08-24 06:14:48,11.3,1.89,9.3,Clear
2025-08-24 07:14:48,22.6,0.0,14.3,Cloudy
2025-08-24 08:14:48,23.9,0.0,14.1,Rain
2025-08-24 09:14:48,0.4,2.84,13.1,Clear
2025-08-24 10:14:48,25.6,0.0,13.4,Cloudy
2025-08-24 11:14:48,24.2,0.0,9.9,Snow
2025-08-24 12:14:48,1.6,0.95,3.5,Clear
2025-08-24 13:14:48,17.9,0.0,15.3,Rain
2025-08-24 14:14:48,15.3,0.0,9.3,Rain
2025-08-24 15:14:48,10.9,2.68,9.4,Rain
2025-08-24 16:14:48,17.0,0.54,5.3,Cloudy
2025-08-24 17:14:48,21.5,2.59,10.2,Cloudy
2025-08-24 18:14:48,11.4,0.0,13.2,Clear
2025-08-24 19:14:48,-2.0,0.0,10.7,Snow
