timestamp,temperature_c,precipitation_mm,wind_speed_kmh,weather_condition
,-10.3,0.0,7.4,Clear
,23.9,0.0,11.3,Clear
,12.9,0.35,6.3,Clear
,19.9,1.22,6.5,Clear
,19.3,0.0,9.8,Clear
,10.0,0.0,6.7,Rain
,23.0,0.22,5.5,Clear
,15.6,0.19,14.3,Clear
,9.0,0.41,5.8,Cloudy
,-2.2,0.0,10.7,Rain
,13.0,0.02,11.0,Clear
,2.7,0.0,9.2,Clear
,12.0,0.0,8.3,Clear
,23.5,2.46,14.8,Clear
,13.7,3.55,6.3,Rain
,11.2,1.9,9.4,Rain
,20.8,0.0,7.4,Cloudy
,29.3,0.33,3.4,Rain
,6.0,0.0,12.1,Clear
,16.2,0.0,10.0,Rain
,25.2,0.0,6.8,Rain
,-3.7,0.14,8.5,Clear
,13.1,0.0,11.5,Cloudy
,0.7,0.0,7.7,Cloudy
,19.4,0.0,16.8,Rain
,25.0,0.6,12.1,Rain
,12.1,0.05,6.3,Clear
,14.6,0.0,7.4,Clear
,33.5,0.0,9.2,Clear
,21.4,0.0,15.5,Clear
,0.8,1.81,14.4,Cloudy
,9.8,0.0,11.6,Cloudy
,11.3,0.0,10.4,Clear
,30.2,0.0,8.6,Clear
,20.2,0.0,8.5,Clear
,18.1,0.44,16.7,Rain
,12.9,1.5,11.2,Cloudy
,21.6,2.43,10.5,Rain
,16.6,0.91,8.5,Rain
,6.0,0.0,11.3,Clear
,1.3,0.0,11.3,Rain
,25.2,0.0,9.6,Rain
,10.5,0.0,9.2,Snow
,-6.9,0.0,13.3,Rain
,23.4,0.0,4.4,Rain
,20.2,0.0,5.1,Clear
,-6.0,0.0,9.6,Clear
,29.4,0.0,9.2,Clear
,29.3,0.0,10.6,Rain
,-1.6,3.98,6.6,Clear
,11.0,0.0,5.9,Clear
,4.0,0.0,9.4,Clear
,34.9,0.0,12.0,Clear
,6.6,1.19,11.1,Clear
,10.2,0.0,16.1,Cloudy
,16.2,2.38,3.0,Rain
,21.7,0.0,11.5,Clear
,19.9,0.5,8.4,Clear
,20.4,0.0,9.2,Cloudy
,23.3,0.66,5.4,Fog
,35.6,0.0,10.6,Clear
,7.0,0.0,9.3,Rain
,8.7,0.0,15.2,Clear
,15.0,0.0,11.8,Clear
,26.0,0.0,11.4,Snow
,5.9,0.0,8.1,Clear
,17.9,0.0,7.8,Rain
,3.2,0.0,12.8,Clear
,18.5,0.0,5.2,Fog
,25.4,0.83,9.5,Clear
,13.6,0.0,6.4,Snow
,21.7,0.0,9.8,Rain
,10.1,0.43,11.0,Cloudy
,14.7,0.0,14.7,Clear
,8.8,0.0,9.9,Clear
,20.9,0.85,10.9,Cloudy
,20.6,0.0,7.8,Clear
,16.4,0.0,9.2,Cloudy
,8.2,2.4,10.0,Clear
,11.3,1.89,9.3,Clear
,22.6,0.0,14.3,Cloudy
,23.9,0.0,14.1,Rain
,0.4,2.84,13.1,Clear
,25.6,0.0,13.4,Cloudy
,24.2,0.0,9.9,Snow
,1.6,0.95,3.5,Clear
,17.9,0.0,15.3,Rain
,15.3,0.0,9.3,Rain
,10.9,2.68,9.4,Rain
,17.0,0.54,5.3,Cloudy
,21.5,2.59,10.2,Cloudy
,11.4,0.0,13.2,Clear
,-2.0,0.0,10.7,Snow
,19.2,7.02,9.3,Clear
,19.7,0.0,15.7,Cloudy
,10.1,0.0,13.0,Clear
,13.4,0.0,4.4,Snow
,17.3,0.63,11.6,Clear
,20.3,1.39,4.9,Rain
,15.1,0.0,12.1,Snow
,23.3,0.0,9.3,Clear
,31.7,1.41,9.1,Clear
,4.9,0.0,15.1,Cloudy
,20.6,0.0,7.8,Cloudy
,14.0,1.81,13.3,Fog
,19.7,0.0,16.3,Snow
,6.8,0.05,8.2,Clear
,3.9,2.77,15.6,Clear
,20.7,0.0,15.8,Cloudy
,14.7,1.78,1.3,Rain
,9.5,1.62,8.8,Fog
,31.1,0.0,15.4,Clear
,13.5,1.25,6.5,Fog
,15.3,0.0,14.4,Clear
,32.8,0.0,10.9,Rain
,-2.4,0.0,13.3,Clear
,15.3,0.0,11.0,Cloudy
,9.8,0.0,7.5,Cloudy
,22.1,0.0,7.4,Clear
,35.8,0.59,14.3,Cloudy
,11.8,0.0,5.6,Rain
,37.5,0.89,12.4,Rain
,-4.6,2.23,10.3,Rain
,11.8,0.0,13.2,Clear
,14.3,0.31,10.4,Clear
,11.0,0.0,10.5,Clear
,16.7,0.76,10.5,Clear
,12.7,0.0,11.4,Fog
,26.5,0.0,9.0,Cloudy
,-8.3,0.68,13.8,Rain
,25.5,0.88,12.9,Snow
,31.3,0.0,8.8,Rain
